Zeit;Temperatur;Luftfeuchte;CO2;eCO2;TVOC;PM1;PM2.5;PM4;PM10
5.209;29.216356;25.439995;251.63637;400.18182;10.181818;0;0;0;0
10.215;29.209566;25.48913;252;400;8.652174;0;0;0;0
15.266;29.228632;25.50046;250.5;400;13.090909;0;0;0;0
20.279;29.225458;25.511822;249;400;8.090909;0;0;0;0
25.444;29.235907;25.492273;248.27272;400.04544;9.5;0;0;0;0
30.52;29.218254;25.463476;247.13043;400;9.652174;0;0;0;0
35.72;29.193642;25.491364;247.18182;400.0909;7.181818;0;0;0;0
40.743;29.20217;25.500433;247.69565;400.0435;4.0869565;0;0;0;0
46.034;29.161366;25.415459;247.04546;400;4.1363635;0;0;0;0
51.217;29.154783;25.32826;247.39131;400;7.7391305;0;0;0;0
56.235;29.130003;25.381311;247.34782;400.0435;4.826087;0;0;0;0
61.27;29.134544;25.460907;248.5;402;6.590909;0;0;0;0
66.466;29.123634;25.50091;249;401.0909;14.181818;0;0;0;0
71.561;29.091307;25.453476;249.39131;401.65216;14.73913;0;0;0;0
76.563;29.086823;25.454094;247.54546;400.95456;13;0;0;0;0
81.732;29.084093;25.432734;245.40909;400.63635;11.727273;0;0;0;0
86.733;29.08435;25.377823;244.69565;401.13043;13.173913;0;0;0;0
91.755;29.092724;25.404543;243.54546;400.22726;12.090909;0;0;0;0
96.756;29.079998;25.377722;242.40909;400;13.045455;0;0;0;0
101.805;29.074541;25.42727;242.27272;400.5909;5.181818;0;0;0;0
106.863;29.081366;25.41046;243;400.9091;11.909091;0;0;0;0
112.102;29.069544;25.369997;242.81818;400.86365;9.772727;0;0;0;0
117.268;29.06522;25.343044;241;400.13043;8.782609;0;0;0;0
122.33;29.070864;25.24174;241;400;4.652174;0;0;0;0
127.365;29.066814;25.200909;239.86363;400;5.818182;0;0;0;0
132.583;29.064997;25.095;239.27272;400;6.181818;0;0;0;0
137.601;29.056084;25.058697;239.60869;400;2.6956522;0;0;0;0
142.633;29.049994;25.092726;240;400;3.8181818;0;0;0;0
147.635;29.040907;25.131361;240;400;3.5454545;0;0;0;0
152.647;29.033642;25.12273;240;400;5.0454545;0;0;0;0
157.691;29.03318;25.093641;240;400;5.1363635;0;0;0;0
162.846;29.02545;25.111818;240;400;4.5454545;0;0;0;0
167.881;29.049994;25.13739;239.65218;400;8.695652;0;0;0;0
172.927;29.049086;25.160454;239;400.68182;8.545455;0;0;0;0
177.973;29.056816;25.155006;238.86363;403.5909;8.545455;0;0;0;0
183.158;29.05727;25.171816;238;401.22726;13.363636;0;0;0;0
188.159;29.063044;25.16913;237.56522;402.30435;11.391304;0;0;0;0
193.186;29.077269;25.165913;238.59091;405.4091;16.363636;0;0;0;0
198.238;29.094545;25.216368;239;402.95456;17.454546;0;0;0;0
203.24;29.111818;25.283178;239.81818;409.45456;20.636364;0;0;0;0
208.263;29.124544;25.36637;240.09091;403.5909;18.5;0;0;0;0
213.282;29.141356;25.325909;241;405.63635;20.40909;0;0;0;0
218.291;29.159996;25.426819;241.77272;405.36365;22.136364;0;0;0;0
223.525;29.169092;25.51545;242.90909;407.45456;25.954546;0;0;0;0
228.71;29.212605;25.689127;244.95653;420.82608;32.347828;0;0;0;0
233.74;29.26087;25.997822;253.86957;423.82608;36.47826;0;0;0;0
239.011;29.25409;26.45636;339.63635;423;35.68182;0;0;0;0
244.176;29.272608;26.789564;418.47827;435.82608;42.130436;0;0;0;0
249.185;29.32739;27.137823;456.82608;423.91306;40.652172;0;0;0;0
254.204;29.363178;27.560907;519.4091;436;42.363636;0;0;0;0
259.306;29.40454;28.445;686.5909;441.72726;41.31818;0;0;0;0
264.324;29.480907;;892.6818;437.13635;20.454546;0;0;0;0
269.469;29.569092;;868.4091;400.86365;3;0;0;0;0
274.524;29.674778;;845.3913;474.6087;29.826086;0;0;0;0
279.806;29.743181;;857;450.77274;48.045456;0;0;0;0
285.046;29.758696;;931.1739;434.30435;71.434784;0;0;0;0
290.076;29.772177;29.766514;1077.5217;454.26086;85.347824;0;0;0;0
295.304;29.788185;29.108173;1046.409;462.36365;86.36364;0;0;0;0
300.31;29.829569;28.877834;1029.826;462.56522;92.304344;0;0;0;0
305.488;29.842724;28.811363;1013.4091;456.36365;87.681816;0;0;0;0
310.807;29.856958;28.811731;1011.8261;459.65216;90.26087;0;0;0;0
315.819;29.882174;28.569128;1011.8261;459.43478;94.695656;0;0;0;0
320.971;29.909998;28.615908;1006.9545;454.31818;92.77273;0;0;0;0
325.972;29.938261;28.64956;1000.73914;455.30435;94.608696;0;0;0;0
331.062;29.948183;28.654543;996.2727;459.81818;96.09091;0;0;0;0
336.241;29.975904;28.685453;990.63635;465.72726;103.72727;0;0;0;0
341.302;29.987822;28.58783;985.26086;464.65216;102.86957;0;0;0;0
346.498;30.008642;28.825;981.2727;466.13635;106;0;0;0;0
351.545;30.02086;28.963041;976.13043;466.30435;111.86957;0;0;0;0
356.829;30.05909;29.011827;975;457.27274;115.86364;0;0;0;0
362.007;30.076525;29.572613;974.73914;447.78262;109;0;0;0;0
367.061;30.110867;29.856953;978.65216;458.9565;113.91304;0;0;0;0
372.314;30.132277;29.90228;982.13635;461.68182;120.818184;0;0;0;0
377.467;30.155645;30.352613;993;459.34784;120.82609;0;0;0;0
382.507;30.152172;31.085217;1082.4783;464.9565;119.304344;0;0;0;0
387.548;30.16909;31.080446;1270;447.9091;119.77273;0;0;0;0
392.595;30.184542;30.756367;1326.1364;438.68182;125.22727;0;0;0;0
397.832;30.199091;30.470459;1329.5;430.36365;128.5;0;0;0;0
403.065;30.21869;30.6013;1328.6086;433.86957;125.04348;0;0;0;0
408.309;30.221298;30.995655;1345.4348;443.73914;122.95652;0;0;0;0
413.552;30.229996;30.938696;1363.3914;432.6087;121.91304;0;0;0;0
418.794;30.253918;30.623041;1369.0869;430.69565;128.04347;0;0;0;0
424.04;30.271315;30.490005;1356;428.17392;130.52174;0;0;0;0
429.205;30.280008;30.613907;1348.826;426.0435;129.78261;0;0;0;0
434.274;30.272612;30.576952;1344.6086;421.6087;131.17392;0;0;0;0
439.445;30.306366;30.593626;1345.1818;413.72726;130;0;0;0;0
444.513;30.306526;30.709135;1347.3043;422.21738;129.78261;0;0;0;0
449.782;30.324541;30.939093;1352.2273;420.22726;130;0;0;0;0
454.953;30.336088;30.833036;1355.3914;407.9565;130.17392;0;0;0;0
460.03;30.363913;30.77653;1358.6086;407.52173;131.73914;0;0;0;0
465.209;30.37182;30.846825;1360.3636;405.04544;130.86363;0;0;0;0
470.282;30.386095;30.84175;1362.4348;400.91306;131.78261;0;0;0;0
475.459;30.390917;30.593641;1361.091;401.13635;133.27272;0;0;0;0
480.541;30.408262;30.531738;1356.4348;400.47827;131.43478;0;0;0;0
485.546;30.409546;30.777729;1352.591;400.95456;126.27273;0;0;0;0
490.552;30.425909;30.88272;1349.2727;402.4091;123.77273;0;0;0;0
495.57;30.454096;30.965454;1349;402.77274;129.95454;0;0;0;0
500.591;30.441816;31.010002;1349.6818;401.86365;126.954544;0;0;0;0
505.606;30.47182;30.98182;1350.8182;403.63635;131;0;0;0;0
510.622;30.483635;30.942732;1351.5;402.13635;129.04546;0;0;0;0
515.845;30.486359;31.039095;1352.8182;401.31818;130.18182;0;0;0;0
520.865;30.504787;31.10609;1354.7826;400.43478;127.95652;0;0;0;0
525.892;30.498634;31.214998;1355.5;400.27274;125.545456;0;0;0;0
531.131;30.510914;31.266363;1357.8182;401.68182;123.954544;0;0;0;0
536.37;30.520004;31.260864;1360.0869;403.34784;126.91304;0;0;0;0
541.61;30.543478;31.444351;1363.7826;400.30435;120.608696;0;0;0;0
546.766;30.557388;32.027832;1385.3914;404.65216;117.17391;0;0;0;0
551.828;30.566954;31.943481;1528.5217;401.08694;122.73913;0;0;0;0
557.093;30.564095;31.693182;1572.5;402.4091;122.72727;0;0;0;0
562.257;30.583042;31.549128;1564.3478;404.65216;122.86957;0;0;0;0
567.32;30.601746;31.522612;1551.3478;404.73914;121.521736;0;0;0;0
572.592;30.604994;31.499548;1539.8636;404.9091;124.5;0;0;0;0
577.758;30.60609;31.637817;1539.4783;402.91306;118.391304;0;0;0;0
582.835;30.611303;31.76217;1539.3478;407.3913;121.478264;0;0;0;0
588.004;30.603638;31.760002;1539.591;401.36365;126.72727;0;0;0;0
593.07;30.619997;31.690443;1539.2609;401.9565;124;0;0;0;0
598.333;30.652277;31.7959;1538.591;409.22726;121.954544;0;0;0;0
